routeid_direction,East_JLM_lines,service_types,Directness_measurements,Settlements_lines,West_metropolin_lines,InJerusalem_lines,percent_problematic_trips,number_of_complaints,passengersnumber_thousands,socioeco_2019
10102-1,0.0,3,0.62,0.0,0.0,1.0,,0.0,0.017,2.0
10102-2,0.0,3,0.58,0.0,0.0,1.0,,0.0,0.14,2.0
10104-1,0.0,3,0.35,0.0,1.0,0.0,,0.0,0.183,2.15
10104-2,0.0,3,0.49,0.0,1.0,0.0,,0.0,0.006,7.2
10105-1,0.0,3,0.675,1.0,0.0,0.0,,0.0,0.135,2.0700000000000003
10105-2,0.0,3,0.74,1.0,0.0,0.0,,0.0,0.006,3.76
10106-1,0.0,3,0.34,0.0,0.0,1.0,,0.0,0.303,2.0
10106-2,0.0,3,0.33,0.0,0.0,1.0,,0.0,0.026,2.0
10107-1,0.0,3,0.5,0.0,0.0,1.0,,0.0,0.002,2.0
10107-2,0.0,3,0.38,0.0,0.0,1.0,,0.0,0.077,2.0
10120-1,0.0,3,0.51,1.0,0.0,0.0,,0.0,0.136,4.27
10120-2,0.0,3,0.5,1.0,0.0,0.0,,0.0,0.366,6.0
10122-1,0.0,3,0.48,1.0,0.0,0.0,,0.0,0.46,5.42
10122-2,0.0,3,0.5,1.0,0.0,0.0,,0.0,0.602,6.0
10124-1,0.0,3,0.53,1.0,0.0,0.0,,0.0,0.831,4.01
10124-2,0.0,3,0.52,1.0,0.0,0.0,,0.0,1.34,6.0
10130-1,0.0,3,0.82,1.0,0.0,0.0,,0.0,0.147,2.3
10130-2,0.0,3,0.83,1.0,0.0,0.0,,0.0,0.114,5.0
10134-1,0.0,3,0.91,1.0,0.0,0.0,,0.0,5.88,2.63
10134-2,0.0,3,0.91,1.0,0.0,0.0,,0.0,5.721,5.0
10150-1,0.0,3,0.99,0.0,1.0,0.0,,0.0,0.391,2.12
10150-2,0.0,3,1.0,0.0,1.0,0.0,,0.0,0.415,5.75
10163-1,0.0,3,0.7,0.0,0.0,1.0,,0.0,1.868,2.0
10163-2,0.0,3,0.83,0.0,0.0,1.0,,0.0,1.556,2.0
10176-1,0.0,3,0.55,1.0,0.0,0.0,,0.0,1.35,5.45
10176-2,0.0,3,0.52,1.0,0.0,0.0,,0.0,1.785,6.0
10177-1,0.0,3,0.51,1.0,0.0,0.0,,0.0,2.326,5.52
10177-2,0.0,3,0.42,1.0,0.0,0.0,,0.0,2.718,6.0
10213-3,1.0,3,0.02,0.0,0.0,1.0,,0.0,0.249,2.0
10214-3,1.0,3,0.97,0.0,0.0,0.0,,0.0,0.054,2.0
10234-1,1.0,3,1.0,0.0,0.0,1.0,,0.0,10.544,2.0
10234-2,1.0,3,1.0,0.0,0.0,1.0,,0.0,13.882,2.03
10254-2,1.0,2,0.83,0.0,0.0,1.0,,0.0,2.035,2.0
10254-3,1.0,2,0.72,0.0,0.0,0.0,,0.0,13.796,2.0
10257-3,1.0,3,0.87,0.0,0.0,1.0,,0.0,6.659,2.0
10267-1,0.0,2,0.59,1.0,0.0,0.0,,0.0,0.061,2.25
10267-2,0.0,2,0.61,1.0,0.0,0.0,,0.0,0.008,5.47
10314-1,,1,,,,,,0.0,0.033,
10314-2,0.0,1,0.76,1.0,0.0,0.0,,0.0,0.047,1.95
10324-1,,1,,,,,,0.0,0.024,
10324-2,0.0,1,0.78,1.0,0.0,0.0,,0.0,0.018,2.0
10344-1,,1,,,,,,0.0,0.053,
